iter	Passed	Remaining
0	174	174586
1	195	97540
2	214	71353
3	229	57047
4	240	47779
5	251	41602
6	262	37245
7	271	33705
8	281	30990
9	291	28829
10	300	26973
11	309	25506
12	319	24283
13	332	23385
14	343	22585
15	352	21696
16	361	20928
17	371	20268
18	381	19696
19	391	19161
20	400	18677
21	411	18313
22	421	17913
23	432	17584
24	442	17244
25	451	16916
26	461	16641
27	470	16340
28	481	16114
29	491	15891
30	500	15657
31	511	15474
32	521	15277
33	531	15096
34	542	14945
35	552	14782
36	562	14637
37	572	14483
38	581	14325
39	591	14189
40	600	14044
41	610	13916
42	619	13797
43	629	13686
44	640	13586
45	649	13475
46	660	13402
47	672	13333
48	683	13258
49	695	13214
50	708	13184
51	720	13127
52	730	13055
53	742	13008
54	754	12967
55	764	12881
56	774	12814
57	784	12741
58	794	12664
59	803	12594
60	814	12536
61	823	12459
62	833	12397
63	843	12332
64	852	12266
65	862	12205
66	871	12142
67	882	12091
68	891	12026
69	901	11975
70	911	11920
71	920	11868
72	930	11813
73	940	11765
74	950	11726
75	959	11669
76	970	11636
77	982	11611
78	991	11560
79	1002	11527
80	1013	11498
81	1024	11466
82	1034	11429
83	1044	11389
84	1055	11365
85	1067	11346
86	1077	11312
87	1089	11290
88	1100	11268
89	1113	11254
90	1123	11224
91	1134	11193
92	1143	11153
93	1153	11116
94	1163	11082
95	1173	11047
96	1183	11016
97	1192	10979
98	1204	10958
99	1214	10930
100	1224	10899
101	1236	10884
102	1247	10866
103	1257	10836
104	1268	10814
105	1279	10788
106	1288	10754
107	1299	10730
108	1308	10697
109	1319	10678
110	1331	10666
111	1343	10649
112	1354	10629
113	1365	10612
114	1376	10593
115	1386	10564
116	1396	10539
117	1406	10514
118	1417	10492
119	1428	10474
120	1448	10523
121	1465	10547
122	1480	10554
123	1491	10535
124	1501	10512
125	1512	10491
126	1523	10469
127	1533	10444
128	1544	10425
129	1554	10403
130	1563	10373
131	1573	10349
132	1583	10323
133	1594	10305
134	1606	10291
135	1616	10272
136	1628	10261
137	1639	10242
138	1650	10222
139	1662	10210
140	1672	10191
141	1683	10169
142	1694	10155
143	1705	10138
144	1715	10115
145	1725	10095
146	1735	10072
147	1745	10049
148	1755	10027
149	1765	10006
150	1775	9981
151	1784	9957
152	1794	9932
153	1803	9909
154	1813	9889
155	1823	9867
156	1832	9839
157	1842	9817
158	1851	9794
159	1861	9770
160	1871	9751
161	1881	9733
162	1892	9716
163	1902	9699
164	1912	9677
165	1922	9659
166	1933	9642
167	1943	9622
168	1952	9600
169	1962	9582
170	1972	9562
171	1982	9543
172	1992	9524
173	2002	9506
174	2012	9487
175	2022	9469
176	2032	9449
177	2042	9430
178	2051	9411
179	2061	9390
180	2071	9371
181	2080	9351
182	2090	9332
183	2100	9313
184	2109	9293
185	2119	9274
186	2128	9253
187	2138	9235
188	2148	9217
189	2158	9201
190	2168	9186
191	2179	9170
192	2189	9154
193	2200	9140
194	2210	9123
195	2220	9107
196	2229	9087
197	2239	9069
198	2248	9052
199	2258	9034
200	2268	9017
201	2278	9001
202	2288	8983
203	2297	8964
204	2307	8949
205	2318	8936
206	2329	8924
207	2340	8912
208	2351	8900
209	2362	8888
210	2373	8875
211	2384	8861
212	2394	8847
213	2403	8827
214	2413	8810
215	2422	8792
216	2431	8775
217	2442	8761
218	2452	8746
219	2463	8734
220	2474	8723
221	2485	8711
222	2496	8698
223	2507	8686
224	2517	8670
225	2528	8659
226	2539	8646
227	2550	8635
228	2562	8627
229	2573	8614
230	2583	8600
231	2594	8588
232	2604	8573
233	2613	8556
234	2623	8541
235	2633	8526
236	2643	8510
237	2653	8495
238	2663	8480
239	2674	8468
240	2684	8453
241	2694	8440
242	2704	8426
243	2714	8410
244	2724	8394
245	2733	8378
246	2743	8363
247	2753	8349
248	2762	8333
249	2772	8318
250	2782	8303
251	2792	8288
252	2801	8273
253	2811	8257
254	2821	8244
255	2831	8229
256	2841	8213
257	2851	8201
258	2861	8187
259	2871	8174
260	2881	8160
261	2891	8146
262	2901	8131
263	2911	8117
264	2921	8102
265	2931	8088
266	2941	8074
267	2950	8060
268	2961	8047
269	2971	8033
270	2980	8018
271	2990	8003
272	2999	7988
273	3009	7974
274	3019	7961
275	3029	7946
276	3039	7932
277	3049	7919
278	3058	7903
279	3068	7890
280	3078	7876
281	3089	7865
282	3101	7857
283	3111	7843
284	3121	7831
285	3131	7818
286	3141	7803
287	3150	7789
288	3160	7774
289	3169	7760
290	3179	7746
291	3188	7731
292	3198	7717
293	3207	7703
294	3218	7692
295	3228	7678
296	3237	7663
297	3247	7649
298	3256	7635
299	3267	7623
300	3276	7609
301	3286	7594
302	3296	7582
303	3306	7569
304	3316	7556
305	3325	7542
306	3335	7529
307	3345	7515
308	3355	7503
309	3365	7490
310	3375	7478
311	3384	7464
312	3394	7450
313	3403	7436
314	3414	7424
315	3424	7411
316	3433	7398
317	3444	7386
318	3454	7373
319	3464	7361
320	3473	7348
321	3483	7335
322	3495	7325
323	3505	7312
324	3515	7301
325	3526	7291
326	3536	7279
327	3547	7267
328	3558	7256
329	3568	7244
330	3578	7232
331	3588	7220
332	3598	7207
333	3608	7195
334	3618	7182
335	3628	7169
336	3638	7157
337	3647	7144
338	3657	7132
339	3667	7119
340	3678	7109
341	3689	7098
342	3699	7086
343	3709	7074
344	3719	7061
345	3728	7047
346	3738	7034
347	3748	7022
348	3758	7010
349	3768	6997
350	3777	6983
351	3786	6970
352	3796	6957
353	3806	6945
354	3816	6933
355	3826	6921
356	3836	6910
357	3846	6898
358	3856	6886
359	3867	6875
360	3877	6862
361	3887	6851
362	3896	6837
363	3905	6824
364	3914	6810
365	3924	6798
366	3934	6785
367	3944	6774
368	3954	6762
369	3964	6749
370	3974	6737
371	3983	6725
372	3994	6713
373	4006	6706
374	4018	6698
375	4037	6700
376	4056	6703
377	4071	6699
378	4084	6692
379	4094	6680
380	4104	6668
381	4114	6656
382	4123	6643
383	4133	6630
384	4142	6617
385	4152	6604
386	4161	6592
387	4171	6580
388	4181	6568
389	4191	6555
390	4201	6543
391	4210	6531
392	4220	6518
393	4230	6506
394	4239	6493
395	4249	6481
396	4259	6469
397	4269	6457
398	4278	6445
399	4288	6432
400	4298	6421
401	4308	6408
402	4318	6397
403	4329	6386
404	4339	6374
405	4349	6364
406	4359	6351
407	4369	6339
408	4379	6327
409	4388	6315
410	4398	6303
411	4408	6291
412	4417	6278
413	4427	6267
414	4437	6255
415	4447	6244
416	4457	6232
417	4467	6220
418	4478	6209
419	4488	6198
420	4499	6188
421	4511	6179
422	4523	6170
423	4534	6160
424	4546	6151
425	4556	6139
426	4566	6128
427	4577	6117
428	4587	6105
429	4597	6094
430	4607	6082
431	4616	6070
432	4627	6059
433	4636	6047
434	4647	6035
435	4657	6024
436	4667	6012
437	4678	6002
438	4688	5991
439	4699	5980
440	4708	5968
441	4719	5957
442	4730	5947
443	4741	5937
444	4752	5927
445	4763	5916
446	4774	5907
447	4784	5895
448	4796	5886
449	4809	5878
450	4822	5870
451	4833	5860
452	4844	5849
453	4855	5839
454	4866	5828
455	4878	5819
456	4889	5809
457	4898	5796
458	4909	5786
459	4918	5774
460	4928	5762
461	4938	5750
462	4947	5738
463	4957	5726
464	4967	5715
465	4977	5703
466	4987	5691
467	4997	5680
468	5006	5668
469	5016	5656
470	5025	5644
471	5035	5632
472	5045	5621
473	5055	5610
474	5065	5599
475	5075	5587
476	5085	5575
477	5094	5563
478	5104	5551
479	5113	5539
480	5123	5528
481	5133	5516
482	5142	5504
483	5151	5492
484	5161	5480
485	5171	5469
486	5180	5457
487	5190	5446
488	5200	5434
489	5209	5422
490	5219	5410
491	5228	5399
492	5238	5387
493	5248	5376
494	5257	5364
495	5268	5353
496	5278	5342
497	5289	5331
498	5299	5321
499	5310	5310
500	5320	5299
501	5330	5287
502	5339	5275
503	5349	5264
504	5359	5253
505	5369	5242
506	5379	5231
507	5389	5219
508	5400	5209
509	5411	5199
510	5422	5189
511	5435	5180
512	5448	5171
513	5460	5163
514	5473	5154
515	5485	5145
516	5499	5137
517	5513	5130
518	5530	5125
519	5546	5119
520	5562	5113
521	5578	5108
522	5595	5103
523	5612	5098
524	5630	5093
525	5646	5088
526	5664	5083
527	5682	5080
528	5701	5076
529	5718	5071
530	5736	5066
531	5753	5061
532	5772	5057
533	5789	5052
534	5808	5048
535	5828	5045
536	5847	5041
537	5869	5040
538	5891	5038
539	5910	5034
540	5931	5032
541	5952	5029
542	5971	5025
543	5992	5023
544	6013	5020
545	6032	5016
546	6051	5011
547	6079	5014
548	6109	5019
549	6134	5019
550	6154	5015
551	6166	5004
552	6179	4995
553	6192	4985
554	6213	4981
555	6236	4980
556	6259	4978
557	6281	4976
558	6304	4973
559	6325	4970
560	6349	4968
561	6372	4966
562	6395	4964
563	6419	4962
564	6442	4960
565	6465	4957
566	6488	4955
567	6513	4954
568	6538	4952
569	6564	4952
570	6589	4950
571	6615	4950
572	6640	4948
573	6665	4946
574	6692	4946
575	6720	4947
576	6746	4945
577	6771	4943
578	6797	4942
579	6823	4941
580	6844	4935
581	6867	4932
582	6891	4929
583	6914	4925
584	6941	4923
585	6965	4920
586	6991	4919
587	7016	4916
588	7041	4913
589	7067	4911
590	7094	4909
591	7119	4906
592	7141	4901
593	7164	4897
594	7189	4893
595	7211	4888
596	7233	4883
597	7255	4877
598	7277	4872
599	7298	4865
600	7318	4859
601	7339	4852
602	7359	4845
603	7380	4838
604	7400	4831
605	7420	4824
606	7439	4816
607	7460	4809
608	7480	4802
609	7500	4795
610	7520	4787
611	7540	4780
612	7559	4772
613	7577	4763
614	7596	4755
615	7614	4746
616	7632	4737
617	7650	4728
618	7669	4720
619	7688	4712
620	7709	4705
621	7729	4697
622	7749	4689
623	7767	4680
624	7785	4671
625	7803	4662
626	7821	4652
627	7839	4643
628	7856	4633
629	7874	4624
630	7894	4616
631	7912	4607
632	7930	4597
633	7947	4587
634	7964	4578
635	7980	4567
636	8000	4558
637	8020	4550
638	8038	4541
639	8056	4531
640	8075	4522
641	8093	4513
642	8110	4503
643	8128	4493
644	8147	4484
645	8168	4476
646	8190	4468
647	8212	4461
648	8234	4453
649	8256	4445
650	8281	4439
651	8305	4433
652	8329	4426
653	8350	4417
654	8373	4410
655	8397	4403
656	8420	4396
657	8445	4389
658	8465	4380
659	8487	4372
660	8507	4363
661	8528	4354
662	8549	4345
663	8571	4337
664	8591	4328
665	8613	4319
666	8643	4315
667	8678	4313
668	8706	4307
669	8729	4299
670	8750	4290
671	8770	4280
672	8790	4271
673	8810	4261
674	8829	4251
675	8849	4241
676	8868	4231
677	8886	4220
678	8905	4209
679	8924	4199
680	8944	4189
681	8964	4179
682	8985	4170
683	9004	4160
684	9024	4149
685	9044	4139
686	9065	4130
687	9084	4119
688	9103	4109
689	9121	4097
690	9139	4087
691	9157	4076
692	9177	4065
693	9195	4054
694	9214	4043
695	9232	4032
696	9252	4022
697	9272	4011
698	9293	4001
